system,body,is star,type,temp,radius,absMagnitude,solMass,spectralClass,luminosity
Eephain JI-Z d1-4103,Eephain JI-Z d1-4103 A,Star,N,9005523.0,11175.780273,5.037491,0.722656,N,VII
Eephain JI-Z d1-4103,Eephain JI-Z d1-4103 C,Star,L,1605.0,188690016.0,13.227844,0.121094,L,V
Eephain JI-Z d1-4103,Eephain JI-Z d1-4103 B,Star,M,3087.0,366555296.0,8.944214,0.355469,M,Va
Eephain WA-U d4-2109,Eephain WA-U d4-2109 A,Star,A,7792.0,986048576.0,2.772812,1.542969,A,Vb
Eephain WA-U d4-2109,Eephain WA-U d4-2109 B,Star,K,3967.0,471067104.0,7.30986,0.539063,K,Va
Eephain WA-U d4-2109,Eephain WA-U d4-2109 C,Star,K,3731.0,432204160.0,7.763336,0.488281,K,Va
Eephain BH-S d5-1613,Eephain BH-S d5-1613,Star,N,1313838.0,11375.0,5.11676,0.695313,N,VII
Eephain AQ-R a72-1,Eephain AQ-R a72-1,Star,T,757.0,91670664.0,18.06044,0.042969,T,V
Eephain DO-P b39-289,Eephain DO-P b39-289,Star,M,3112.0,350509216.0,9.006409,0.351563,M,Va
Eephain UX-S c20-64,Eephain UX-S c20-64 A,Star,K,3898.0,514174976.0,7.195908,0.546875,K,Va
Eephain UX-S c20-64,Eephain UX-S c20-64 B,Star,L,1806.0,248502000.0,12.117249,0.175781,L,V
Eephain UX-S c20-64,Eephain UX-S c20-64 C,Star,M,2648.0,351443136.0,9.702011,0.320313,M,Va
Eephain UX-S c20-64,Eephain UX-S c20-64 E,Star,T,931.0,108778000.0,16.789993,0.058594,T,V
Eephain UX-S c20-64,Eephain UX-S c20-64 D,Star,M,2442.0,319372192.0,10.261673,0.28125,M,Va
Eephain BS-H d11-1273,Eephain BS-H d11-1273,Star,G,5747.0,641355008.0,5.029465,0.929688,G,Vab
Eephain FY-F d12-5821,Eephain FY-F d12-5821 A,Star,A,8358.0,923774528.0,2.609894,1.675781,A,VI
Eephain FY-F d12-5821,Eephain FY-F d12-5821 B,Star,M,2692.0,314278208.0,9.873199,0.332031,M,Va
Eephain SN-I c26-562,Eephain SN-I c26-562 A,Star,K,3724.0,448886976.0,7.689209,0.566406,K,Va
Eephain SN-I c26-562,Eephain SN-I c26-562 C,Star,T,1211.0,133229160.0,15.207382,0.074219,T,V
Eephain SN-I c26-562,Eephain SN-I c26-562 B,Star,M,3114.0,341934336.0,9.057404,0.34375,M,Va
Eephain KE-E d13-850,Eephain KE-E d13-850,Star,N,2315140.0,12546.875,4.926285,0.511719,N,VII
Mylaifa DW-Y c3-339,Mylaifa DW-Y c3-339,Star,M,3671.0,473911232.0,7.633682,0.542969,M,Va
Mylaifa YQ-Q b11-29,Mylaifa YQ-Q b11-29 A,Star,M,2822.0,342656000.0,9.480545,0.328125,M,Va
Mylaifa YQ-Q b11-29,Mylaifa YQ-Q b11-29 B,Star,L,1461.0,169438976.0,13.869949,0.097656,L,V
Mylaifa UO-X d2-2192,Mylaifa UO-X d2-2192,Star,F,7318.0,893040768.0,3.260635,1.710938,F,Vb
Mylaifa BW-P c8-2861,Mylaifa BW-P c8-2861,Star,K,4071.0,576809856.0,6.757599,0.671875,K,Va
Mylaifa ZU-V d3-10268,Mylaifa ZU-V d3-10268 A,Star,N,3020666.0,10800.78125,4.332672,0.796875,N,VII
Mylaifa ZU-V d3-10268,Mylaifa ZU-V d3-10268 B,Star,K,3975.0,429826976.0,7.500107,0.503906,K,Va
Mylaifa HN-D c15-109,Mylaifa HN-D c15-109,Star,K,5006.0,655703104.0,5.581055,0.789063,K,Va
Mylaifa VZ-M d8-2764,Mylaifa VZ-M d8-2764,Star,N,1861254.0,10664.0625,5.164581,0.847656,N,VII
Dryaa Flyuae SR-H d11-3809,Dryaa Flyuae SR-H d11-3809 A,Star,F,6669.0,851715776.0,3.766953,1.335938,F,Vb
Dryaa Flyuae SR-H d11-3809,Dryaa Flyuae SR-H d11-3809 ABC 3,Star,T,1055.0,128708240.0,15.881424,0.070313,T,V
Dryaa Flyuae SR-H d11-3809,Dryaa Flyuae SR-H d11-3809 ABC 2,Star,Y,362.0,46143092.0,23.134949,0.011719,Y,V
Dryaa Flyuae SR-H d11-3809,Dryaa Flyuae SR-H d11-3809 C,Star,M,2092.0,259666352.0,11.383163,0.222656,M,VI
Dryaa Flyuae SR-H d11-3809,Dryaa Flyuae SR-H d11-3809 B,Star,G,5448.0,674890496.0,5.150864,0.902344,G,Vab
Dryaa Flyuae WB-K c25-500,Dryaa Flyuae WB-K c25-500,Star,K,4537.0,622082752.0,6.122696,0.8125,K,Va
Dryaa Flyuae BI-I c26-247,Dryaa Flyuae BI-I c26-247,Star,K,4972.0,556073088.0,5.968628,0.75,K,Vab
Dryaa Flyuae FK-C d14-1527,Dryaa Flyuae FK-C d14-1527,Star,F,7396.0,868334976.0,3.275497,1.484375,F,VI
Eok Pruae XV-C d6170,Eok Pruae XV-C d6170,Star,A,8556.0,990442176.0,2.356827,1.644531,A,VI
Eok Pruae XV-C d7920,Eok Pruae XV-C d7920 A,Star,N,7495289.0,12074.217773,5.25032,0.578125,N,VII
Eok Pruae XV-C d7920,Eok Pruae XV-C d7920 B,Star,M,2966.0,394551040.0,8.958054,0.375,M,Va
Eok Pruae PU-V d3-6912,Eok Pruae PU-V d3-6912 A,Star,N,7556612.0,10753.90625,4.933807,0.816406,N,VII
Eok Pruae PU-V d3-6912,Eok Pruae PU-V d3-6912 B,Star,M,3321.0,367064704.0,8.62381,0.359375,M,Va
Eok Pruae PU-V d3-6912,Eok Pruae PU-V d3-6912 C,Star,K,3966.0,456485504.0,7.379242,0.511719,K,Va
Eok Pruae CN-Q d6-4996,Eok Pruae CN-Q d6-4996 A,Star,G,5540.0,773692736.0,4.781326,1.019531,G,Vab
Eok Pruae CN-Q d6-4996,Eok Pruae CN-Q d6-4996 B,Star,M,3630.0,495390880.0,7.586182,0.5,M,Va
Eok Pruae GT-O d7-477,Eok Pruae GT-O d7-477 B,Star,K,3993.0,463319968.0,7.317505,0.496094,K,Va
Eok Pruae GT-O d7-477,Eok Pruae GT-O d7-477 C,Star,L,1964.0,214159984.0,12.075989,0.160156,L,V
Eok Pruae GT-O d7-477,Eok Pruae GT-O d7-477 A,Star,G,5857.0,804914688.0,4.45369,1.214844,G,Vab
Eok Pruae GT-O d7-477,Eok Pruae GT-O d7-477 ABC 6,Star,Y,467.0,55100032.0,21.445877,0.019531,Y,V
Eok Pruae UD-A c17-276,Eok Pruae UD-A c17-276,Star,K,4991.0,670730432.0,5.544876,0.859375,K,Va
Eok Pruae CQ-W c18-627,Eok Pruae CQ-W c18-627 A,Star,K,4784.0,593301696.0,5.9953,0.6875,K,Va
Eok Pruae CQ-W c18-627,Eok Pruae CQ-W c18-627 B,Star,M,2481.0,323426144.0,10.165436,0.265625,M,Va
Eok Pruae TL-J d10-9472,Eok Pruae TL-J d10-9472,Star,F,6528.0,761976576.0,4.101578,1.328125,F,Vb
Eok Pruae UO-P c22-145,Eok Pruae UO-P c22-145,Star,K,4835.0,616670400.0,5.865341,0.855469,K,Va
Eok Pruae YR-H d11-11845,Eok Pruae YR-H d11-11845 A,Star,G,5791.0,655745600.0,4.94812,1.023438,G,Vb
Eok Pruae YR-H d11-11845,Eok Pruae YR-H d11-11845 B,Star,K,3992.0,485266592.0,7.218079,0.484375,K,Va
Eok Pruae YR-H d11-11845,Eok Pruae YR-H d11-11845 C,Star,M,3397.0,373750560.0,8.486313,0.429688,M,Va
Eok Pruae CY-F d12-742,Eok Pruae CY-F d12-742 A,Star,F,7070.0,857913472.0,3.497559,1.453125,F,Vb
Eok Pruae CY-F d12-742,Eok Pruae CY-F d12-742 D,Star,K,4207.0,538520064.0,6.764023,0.570313,K,Va
Eok Pruae CY-F d12-742,Eok Pruae CY-F d12-742 C,Star,G,5621.0,603659456.0,5.257324,0.863281,G,Vab
Eok Pruae CY-F d12-742,Eok Pruae CY-F d12-742 B,Star,K,4778.0,552613440.0,6.15506,0.785156,K,Vab
Eok Pruae QT-G c27-256,Eok Pruae QT-G c27-256 A,Star,K,3799.0,486794816.0,7.426514,0.601563,K,Va
Eok Pruae QT-G c27-256,Eok Pruae QT-G c27-256 B,Star,M,2072.0,244639056.0,11.554443,0.183594,M,VI
Eok Pruae LK-C d14-7211,Eok Pruae LK-C d14-7211 A,Star,F,6615.0,833101440.0,3.85025,1.382813,F,Vb
Eok Pruae LK-C d14-7211,Eok Pruae LK-C d14-7211 B,Star,M,3137.0,395060448.0,8.711777,0.425781,M,Va
Dryaa Pruae FX-F c833,Dryaa Pruae FX-F c833,Star,G,5307.0,710145216.0,5.154114,0.890625,G,Va
Dryaa Pruae IC-B d1-3798,Dryaa Pruae IC-B d1-3798,Star,N,1003622.0,11375.0,5.20076,0.695313,N,VII
Dryaa Pruae IC-B d1-3798,Dryaa Pruae IC-B d1-3798 1,Star,Y,522.0,62167948.0,20.838058,0.019531,Y,V
Dryaa Pruae SA-Q c8-594,Dryaa Pruae SA-Q c8-594,Star,K,3759.0,468498848.0,7.555679,0.546875,K,Va
Dryaa Pruae ZA-U d4-5818,Dryaa Pruae ZA-U d4-5818,Star,F,7489.0,865639296.0,3.227966,1.667969,F,VI
Dryaa Pruae KZ-I c12-161,Dryaa Pruae KZ-I c12-161,Star,K,5149.0,594766208.0,5.670547,0.871094,K,Vab
Dryaa Pruae PF-H c13-347,Dryaa Pruae PF-H c13-347 A,Star,M,3298.0,397034368.0,8.483551,0.480469,M,Va
Dryaa Pruae PF-H c13-347,Dryaa Pruae PF-H c13-347 C,Star,M,2732.0,348386720.0,9.585327,0.292969,M,Va
Dryaa Pruae PF-H c13-347,Dryaa Pruae PF-H c13-347 B,Star,L,1491.0,205096912.0,13.366821,0.132813,L,V
Dryaa Pruae MT-O d7-3279,Dryaa Pruae MT-O d7-3279,Star,A,7975.0,995621120.0,2.65097,1.566406,A,Vb
Dryaa Pruae NT-O d7-5794,Dryaa Pruae NT-O d7-5794,Star,N,2566184.0,11960.9375,4.582947,0.589844,N,VII
Dryaa Pruae ES-H d11-5787,Dryaa Pruae ES-H d11-5787 A,Star,N,6161106.0,12484.374023,5.029251,0.519531,N,VII
Dryaa Pruae ES-H d11-5787,Dryaa Pruae ES-H d11-5787 B,Star,M,3068.0,358999200.0,9.016281,0.316406,M,Va
Dryaa Pruae ES-H d11-5787,Dryaa Pruae ES-H d11-5787 C,Star,L,1799.0,242580224.0,12.186523,0.183594,L,V
Dryaa Pruae RK-C d14-7918,Dryaa Pruae RK-C d14-7918 A,Star,A,8035.0,963316736.0,2.690063,1.621094,A,Vb
Dryaa Pruae RK-C d14-7918,Dryaa Pruae RK-C d14-7918 B,Star,K,5000.0,559638912.0,5.930313,0.804688,K,Vab
Dryaa Pruae RK-C d14-7918,Dryaa Pruae RK-C d14-7918 C,Star,G,5927.0,768959616.0,4.501312,1.027344,G,Vab
Kurians,Kurians,Star,TTS,4513.0,644453888.0,6.068985,0.773438,TTS,Va
Kurians,Kurians,Star,TTS,4513.0,644453888.0,6.068985,0.773438,TTS,Va
Cho Thaa OF-V b43-0,Cho Thaa OF-V b43-0 A,Star,M,3096.0,373856672.0,8.888733,0.433594,M3,Va
Cho Thaa OF-V b43-0,Cho Thaa OF-V b43-0 B,Star,M,2642.0,307656000.0,10.0009,0.261719,M6,Va
Cho Thaa LW-E d11-1,Cho Thaa LW-E d11-1,Star,F,6238.0,851673344.0,4.057266,1.269531,F8,Vab
Slaiyooe AE-G c24-0,Slaiyooe AE-G c24-0 A,Star,G,5557.0,648996096.0,5.14978,0.855469,G5,Vab
Slaiyooe AE-G c24-0,Slaiyooe AE-G c24-0 B,Star,M,3542.0,400090784.0,8.15683,0.429688,M0,Va
Slaiyooe BE-G c24-0,Slaiyooe BE-G c24-0,Star,K,3720.0,494117408.0,7.485367,0.539063,K9,Va
Slaiyooe SA-H b51-0,Slaiyooe SA-H b51-0 A,Star,M,2572.0,348323072.0,9.847885,0.292969,M6,Va
Slaiyooe SA-H b51-0,Slaiyooe SA-H b51-0 B,Star,T,951.0,107037544.0,16.732681,0.058594,T5,V
Slaiyooe MQ-C c26-0,Slaiyooe MQ-C c26-0,Star,G,5778.0,604508480.0,5.134598,0.894531,G2,Vb
Slaiyooe SW-A c27-0,Slaiyooe SW-A c27-0,Star,K,4219.0,573541248.0,6.614807,0.714844,K6,Va
Slaiyooe XC-Z c27-1,Slaiyooe XC-Z c27-1 A,Star,K,3951.0,453556480.0,7.409714,0.585938,K8,Va
Slaiyooe XC-Z c27-1,Slaiyooe XC-Z c27-1 B,Star,L,1834.0,219784592.0,12.317169,0.152344,L2,V
Slaiyooe CJ-X c28-0,Slaiyooe CJ-X c28-0 A,Star,G,5672.0,672237376.0,4.984406,0.871094,G4,Vab
Slaiyooe CJ-X c28-0,Slaiyooe CJ-X c28-0 C,Star,K,4012.0,509102240.0,7.092209,0.605469,K7,Va
Slaiyooe CJ-X c28-0,Slaiyooe CJ-X c28-0 B,Star,M,2767.0,301373408.0,9.844879,0.308594,M5,Va
Eowrairks JA-A c0,Eowrairks JA-A c0,Star,K,4454.0,630933568.0,6.172241,0.757813,K4,Va
Eowrairks KA-A c0,Eowrairks KA-A c0 B,Star,M,3368.0,352249664.0,8.652237,0.394531,M1,Va
Eowrairks KA-A c0,Eowrairks KA-A c0 A,Star,K,4803.0,515002784.0,6.285477,0.695313,K2,Vab
Eowrairks PG-Y c0,Eowrairks PG-Y c0,Star,K,5041.0,661073088.0,5.533081,0.851563,K1,Va
Eowrairks KG-Y d3,Eowrairks KG-Y d3 A,Star,F,7075.0,847746688.0,3.52037,1.351563,F2,Vb
Eowrairks KG-Y d3,Eowrairks KG-Y d3 B,Star,K,4110.0,478156224.0,7.123611,0.613281,K7,Va
Eowrairks KG-Y d3,Eowrairks KG-Y d3 C,Star,K,3846.0,452410304.0,7.532196,0.53125,K9,Va
Eowrairks KG-Y d3,Eowrairks KG-Y d3 D,Star,K,3725.0,471449152.0,7.581543,0.492188,K9,Va
Eowrairks EZ-S c3-0,Eowrairks EZ-S c3-0 A,Star,K,3856.0,469836032.0,7.438843,0.535156,K8,Va
Eowrairks EZ-S c3-0,Eowrairks EZ-S c3-0 C,Star,M,2978.0,348301824.0,9.211304,0.359375,M4,Va
Eowrairks EZ-S c3-0,Eowrairks EZ-S c3-0 D,Star,M,2203.0,245360704.0,11.281738,0.195313,M8,Va
Eowrairks EZ-S c3-0,Eowrairks EZ-S c3-0 B,Star,M,2426.0,274014432.0,10.62291,0.226563,M7,Va
Eowrairks VQ-G b10-0,Eowrairks VQ-G b10-0,Star,M,2656.0,361227840.0,9.629288,0.3125,M6,Va
Eowrairks US-U d2-2,Eowrairks US-U d2-2,Star,F,6793.0,907940800.0,3.54805,1.332031,F4,Vb
Eowrairks WX-L c7-0,Eowrairks WX-L c7-0 A,Star,M,3653.0,433944608.0,7.846359,0.46875,M0,Va
Eowrairks WX-L c7-0,Eowrairks WX-L c7-0 B,Star,M,2948.0,301819136.0,9.566422,0.304688,M4,Va
Eowrairks MM-W e1-0,Eowrairks MM-W e1-0 A,Star,B,10942.0,1578501376.0,0.276031,3.21875,B0,Vz
Eowrairks MM-W e1-0,Eowrairks MM-W e1-0 B,Star,A,8594.0,1154001792.0,2.005615,2.042969,A0,Vz
Pyra Eop JB-G b17-0,Pyra Eop JB-G b17-0,Star,M,2447.0,331385504.0,10.172577,0.289063,M7,Va
Pyra Eop ZA-U d4-1,Pyra Eop ZA-U d4-1,Star,F,6926.0,812109952.0,3.7061,1.25,F3,VI
Pyra Eop FA-Z b20-0,Pyra Eop FA-Z b20-0,Star,M,2737.0,377443712.0,9.403397,0.367188,M5,Va
Pyra Eop QM-V b22-0,Pyra Eop QM-V b22-0 A,Star,M,2696.0,322619616.0,9.80983,0.289063,M5,Va
Pyra Eop QM-V b22-0,Pyra Eop QM-V b22-0 B,Star,M,2153.0,297170880.0,10.965302,0.246094,M9,VI
Pyra Eop AZ-R b24-0,Pyra Eop AZ-R b24-0 A,Star,M,2548.0,312240608.0,10.126114,0.308594,M6,Va
Pyra Eop AZ-R b24-0,Pyra Eop AZ-R b24-0 B,Star,L,1782.0,229908912.0,12.344299,0.148438,L3,V
Eowrairks YC-D c12-0,Eowrairks YC-D c12-0,Star,K,4699.0,644984512.0,5.891754,0.773438,K3,Va
Eowrairks EJ-B c13-0,Eowrairks EJ-B c13-0,Star,K,4439.0,455954880.0,6.892334,0.59375,K5,Vab
Eowrairks QR-N d6-0,Eowrairks QR-N d6-0 A,Star,A,8144.0,976688384.0,2.601563,1.597656,A7,Vb
Eowrairks QR-N d6-0,Eowrairks QR-N d6-0 B,Star,F,6028.0,706961472.0,4.610489,1.066406,F9,Vb
Eowrairks QR-N d6-0,Eowrairks QR-N d6-0 C,Star,K,4006.0,545545536.0,6.948547,0.628906,K7,Va
Eowrairks JU-Z c13-0,Eowrairks JU-Z c13-0 A,Star,K,4207.0,584259904.0,6.58696,0.703125,K6,Va
Eowrairks JU-Z c13-0,Eowrairks JU-Z c13-0 B,Star,M,2870.0,412231456.0,9.005783,0.394531,M4,Va
Eowrairks VX-L d7-3,Eowrairks VX-L d7-3,Star,F,6259.0,871985600.0,3.991486,1.347656,F8,Vab
Eowrairks VB-W c15-0,Eowrairks VB-W c15-0,Star,K,3981.0,482783264.0,7.241211,0.621094,K8,Va
Pyria Thua YM-S c17-0,Pyria Thua YM-S c17-0 A,Star,G,5266.0,564308416.0,5.687134,0.78125,G9,Vab
Pyria Thua YM-S c17-0,Pyria Thua YM-S c17-0 D,Star,T,1144.0,147598464.0,15.232178,0.074219,T2,V
Pyria Thua YM-S c17-0,Pyria Thua YM-S c17-0 C,Star,M,2945.0,343717248.0,9.288513,0.332031,M4,Va
Pyria Thua YM-S c17-0,Pyria Thua YM-S c17-0 B,Star,M,3340.0,426961568.0,8.270737,0.414063,M2,Va
Pyria Thua DT-Q c18-0,Pyria Thua DT-Q c18-0 A,Star,M,3635.0,454723840.0,7.76622,0.46875,M0,Va
Pyria Thua DT-Q c18-0,Pyria Thua DT-Q c18-0 B,Star,L,1631.0,231288560.0,12.715927,0.148438,L5,V
Pyria Thua IZ-O c19-0,Pyria Thua IZ-O c19-0 A,Star,K,4182.0,459711744.0,7.133575,0.554688,K6,Va
Pyria Thua IZ-O c19-0,Pyria Thua IZ-O c19-0 B,Star,L,1773.0,231479568.0,12.351501,0.160156,L3,V
Pyria Thua NF-N c20-0,Pyria Thua NF-N c20-0,Star,M,3449.0,440821504.0,8.061813,0.480469,M1,Va
Pyria Thua TL-L c21-0,Pyria Thua TL-L c21-0,Star,K,4357.0,519014304.0,6.691986,0.644531,K5,Va
Pyria Thua ZV-E d11-0,Pyria Thua ZV-E d11-0,Star,G,5928.0,601494528.0,5.034119,0.910156,G0,VI
Pyria Thua DY-H c23-0,Pyria Thua DY-H c23-0,Star,M,3484.0,467862144.0,7.888672,0.496094,M1,Va
Pyria Thua JE-G c24-0,Pyria Thua JE-G c24-0,Star,K,4174.0,422164736.0,7.326965,0.53125,K6,Vab
Pyria Thua NK-E c25-0,Pyria Thua NK-E c25-0,Star,K,4722.0,602067584.0,6.020081,0.773438,K3,Va
Pyria Thua II-B d13-2,Pyria Thua II-B d13-2,Star,N,1184368.0,11531.25,5.254715,0.660156,N0,VII
Syneayoi HA-A d3,Syneayoi HA-A d3,Star,F,7058.0,1032106880.0,3.103424,1.667969,F2,Vab
Syneayoi VG-Y c0,Syneayoi VG-Y c0,Star,K,4334.0,496876672.0,6.809647,0.636719,K5,Vab
Syneayoi NG-Y d3,Syneayoi NG-Y d3,Star,F,6957.0,734766144.0,3.904099,1.277344,F3,VI
Syneayoi GT-U c2-0,Syneayoi GT-U c2-0 A,Star,K,4257.0,525954880.0,6.764008,0.746094,K6,Va
Syneayoi GT-U c2-0,Syneayoi GT-U c2-0 B,Star,M,2857.0,314363104.0,9.614197,0.3125,M4,Va
Syneayoi QR-W d1-1,Syneayoi QR-W d1-1 A,Star,N,9284760.0,11531.25,4.997696,0.660156,N0,VII
Syneayoi QR-W d1-1,Syneayoi QR-W d1-1 B,Star,M,2452.0,301882816.0,10.366226,0.257813,M7,Va
Syneayoi BI-M c7-0,Syneayoi BI-M c7-0 A,Star,K,5002.0,536397568.0,6.020737,0.753906,K1,Vab
Syneayoi BI-M c7-0,Syneayoi BI-M c7-0 B,Star,M,3298.0,402192032.0,8.45549,0.449219,M2,Va
Syneayoi BI-M c7-0,Syneayoi BI-M c7-0 C,Star,M,2373.0,278938592.0,10.680161,0.242188,M7,Va
Syneayoi LU-I c9-0,Syneayoi LU-I c9-0 A,Star,M,3674.0,486794816.0,7.571854,0.5,M0,Va
Syneayoi LU-I c9-0,Syneayoi LU-I c9-0 F,Star,L,1884.0,224560208.0,12.15361,0.15625,L1,V
Syneayoi LU-I c9-0,Syneayoi LU-I c9-0 E,Star,M,3012.0,317759072.0,9.361359,0.335938,M4,Va
Syneayoi LU-I c9-0,Syneayoi LU-I c9-0 B,Star,L,1656.0,190600272.0,13.070084,0.148438,L4,V
Syneayoi LU-I c9-0,Syneayoi LU-I c9-0 D,Star,M,3140.0,365536512.0,8.876328,0.390625,M3,Va
Syneayoi LU-I c9-0,Syneayoi LU-I c9-0 C,Star,T,946.0,112280104.0,16.651749,0.058594,T5,V
Syneayoi QK-I c9-0,Syneayoi QK-I c9-0,Star,K,3814.0,512561888.0,7.297363,0.605469,K9,Va
Syneayoi PP-I c9-0,Syneayoi PP-I c9-0 B,Star,M,2526.0,297234528.0,10.270767,0.292969,M6,Va
Syneayoi PP-I c9-0,Syneayoi PP-I c9-0 A,Star,K,4555.0,538074304.0,6.420609,0.78125,K4,Va
Syneayoi PP-I c9-0,Syneayoi PP-I c9-0 C,Star,K,4395.0,464996704.0,6.892975,0.597656,K5,Vab
Syneayoi PP-I c9-0,Syneayoi PP-I c9-0 D,Star,M,3265.0,407137440.0,8.472641,0.398438,M2,Va
Syneayoi PP-I c9-0,Syneayoi PP-I c9-0 E,Star,K,3825.0,435027072.0,7.641098,0.488281,K9,Va
Syneayoi ZB-F c11-0,Syneayoi ZB-F c11-0 A,Star,G,5399.0,566685568.0,5.569656,0.796875,G7,Vab
Syneayoi ZB-F c11-0,Syneayoi ZB-F c11-0 B,Star,M,2095.0,269599616.0,11.295425,0.230469,M9,VI
Syneayoi ZB-F c11-0,Syneayoi ZB-F c11-0 C,Star,L,1827.0,216770656.0,12.36377,0.148438,L2,V
Cheae Euq AC-D c12-0,Cheae Euq AC-D c12-0,Star,K,4407.0,536185312.0,6.571716,0.582031,K5,Va
Cheae Euq AH-D c12-0,Cheae Euq AH-D c12-0 A,Star,M,3527.0,431142912.0,8.012909,0.535156,M1,Va
Cheae Euq DC-D c12-0,Cheae Euq DC-D c12-0,Star,M,3591.0,413568640.0,8.025177,0.460938,M0,Va
Cheae Euq ER-N d6-4,Cheae Euq ER-N d6-4,Star,F,7469.0,842249408.0,3.299088,1.398438,F0,VI
Cheae Euq MT-Z c13-0,Cheae Euq MT-Z c13-0,Star,G,5380.0,591815936.0,5.490723,0.855469,G7,Vab
Cheae Euq TU-X c14-1,Cheae Euq TU-X c14-1 A,Star,K,4805.0,697261632.0,5.625549,0.890625,K2,Va
Cheae Euq TU-X c14-1,Cheae Euq TU-X c14-1 B,Star,M,3611.0,375236320.0,8.212311,0.429688,M0,Va
Cheae Euq YA-W c15-0,Cheae Euq YA-W c15-0 A,Star,G,5640.0,667886272.0,5.023041,0.835938,G4,Vab
Cheae Euq YA-W c15-0,Cheae Euq YA-W c15-0 C,Star,T,1141.0,127668216.0,15.558624,0.074219,T2,V
Cheae Euq YA-W c15-0,Cheae Euq YA-W c15-0 B,Star,L,1872.0,228996256.0,12.138885,0.183594,L1,V
Cheae Euq PD-K d8-0,Cheae Euq PD-K d8-0 A,Star,F,6260.0,666209536.0,4.575455,1.0,F8,Vb
Cheae Euq PD-K d8-0,Cheae Euq PD-K d8-0 B,Star,M,3107.0,420509184.0,8.617935,0.398438,M3,Va
Cheae Euq PD-K d8-0,Cheae Euq PD-K d8-0 C,Star,T,1058.0,147534800.0,15.572586,0.078125,T4,V
Cheae Euq XG-J b36-0,Cheae Euq XG-J b36-0,Star,M,3274.0,351294528.0,8.781082,0.359375,M2,Va
Cheia Dryiae QF-L d9-0,Cheia Dryiae QF-L d9-0,Star,G,5684.0,817034176.0,4.551468,1.113281,G3,Vab
Cheae Euq OZ-D b39-0,Cheae Euq OZ-D b39-0,Star,M,2975.0,412167776.0,8.850021,0.386719,M4,Va
Cheae Euq ZF-N c20-1,Cheae Euq ZF-N c20-1 A,Star,K,4240.0,500484896.0,6.889175,0.683594,K6,Va
Cheae Euq ZF-N c20-1,Cheae Euq ZF-N c20-1 B,Star,M,3003.0,355306080.0,9.131775,0.332031,M4,Va
Cheae Euq ZF-N c20-1,Cheae Euq ZF-N c20-1 C,Star,L,1699.0,201149088.0,12.841751,0.144531,L4,V
Cheae Euq AG-N c20-1,Cheae Euq AG-N c20-1,Star,K,3791.0,401767552.0,7.852615,0.464844,K9,Va
Cheae Euq IX-J c22-0,Cheae Euq IX-J c22-0 A,Star,M,3529.0,422334528.0,8.055267,0.453125,M1,Va
Cheae Euq IX-J c22-0,Cheae Euq IX-J c22-0 D,Star,T,1090.0,141464448.0,15.534409,0.078125,T3,V
Cheae Euq IX-J c22-0,Cheae Euq IX-J c22-0 E,Star,T,1152.0,132316496.0,15.43927,0.082031,T2,V
Cheae Euq IX-J c22-0,Cheae Euq IX-J c22-0 C,Star,L,1868.0,258774880.0,11.882599,0.191406,L1,V
Cheae Euq IX-J c22-0,Cheae Euq IX-J c22-0 B,Star,M,2319.0,288150272.0,10.709595,0.261719,M8,Va
Cheae Euq ER-L c21-0,Cheae Euq ER-L c21-0,Star,K,5111.0,609729856.0,5.648758,0.757813,K0,Vab
Cheae Euq FW-E d11-5,Cheae Euq FW-E d11-5,Star,G,5354.0,642543680.0,5.333145,1.035156,G8,Vab
Cheae Euq RE-G c24-0,Cheae Euq RE-G c24-0 A,Star,K,3978.0,451327840.0,7.390808,0.539063,K8,Va
Cheae Euq RE-G c24-0,Cheae Euq RE-G c24-0 C,Star,T,959.0,128729464.0,16.295502,0.066406,T5,V
Cheae Euq RE-G c24-0,Cheae Euq RE-G c24-0 B,Star,M,2446.0,327395232.0,10.200653,0.261719,M7,Va
Cheae Euq ZQ-C c26-0,Cheae Euq ZQ-C c26-0 A,Star,K,5126.0,582413312.0,5.73558,0.796875,K0,Vab
Cheae Euq ZQ-C c26-0,Cheae Euq ZQ-C c26-0 B,Star,M,3536.0,442392160.0,7.945892,0.425781,M0,Va
Cheae Euq DX-A c27-1,Cheae Euq DX-A c27-1,Star,K,4860.0,664384128.0,5.681061,0.832031,K2,Va
Cheae Euq QO-Z d13-1,Cheae Euq QO-Z d13-1,Star,A,7637.0,908598720.0,3.037766,1.746094,A9,Vb
Pyrie Euq PA-A c0,Pyrie Euq PA-A c0 A,Star,K,4986.0,552634688.0,5.969864,0.808594,K1,Vab
Pyrie Euq PA-A c0,Pyrie Euq PA-A c0 C,Star,M,2841.0,309269088.0,9.674057,0.3125,M5,Va
Pyrie Euq PA-A c0,Pyrie Euq PA-A c0 D,Star,L,1454.0,171349216.0,13.86644,0.117188,L7,V
Pyrie Euq PA-A c0,Pyrie Euq PA-A c0 B,Star,K,4420.0,506618944.0,6.682114,0.703125,K5,Va
Pyrie Euq VR-W c1-0,Pyrie Euq VR-W c1-0,Star,K,4962.0,593386624.0,5.836304,0.800781,K1,Vab
Pyrie Euq YX-U c2-0,Pyrie Euq YX-U c2-0,Star,K,4236.0,544675328.0,6.709503,0.644531,K6,Va
